,KO1,KO2,KO3,KO4,KO5,KO6,OE1,OE2,OE3,OE4,OE5,OE6,WT1,WT2,WT3,WT4,WT5,WT6
ASV_1,0.0336666666666667,0.0542666666666667,0.0204,0.0359,0.0272333333333333,0.0296333333333333,0.0393666666666667,0.0494666666666667,0.0396333333333333,0.0288333333333333,0.0376,0.0314,0.0626,0.0649,0.0474333333333333,0.0547666666666667,0.0385666666666667,0.0417333333333333
ASV_2,0.0575333333333333,0.0337666666666667,0.0613,0.0578,0.0729333333333333,0.0499,0.0196333333333333,0.0151333333333333,0.0345,0.0385333333333333,0.0287333333333333,0.0199666666666667,0.0344666666666667,0.0389333333333333,0.0229,0.0300333333333333,0.0400333333333333,0.0315333333333333
ASV_3,0.0173,0.0126333333333333,0.0228666666666667,0.0235666666666667,0.0315666666666667,0.0229666666666667,0.0182333333333333,0.0136333333333333,0.0307333333333333,0.0312666666666667,0.0256,0.0205666666666667,0.0275,0.0465666666666667,0.0277333333333333,0.0331,0.0317333333333333,0.0212333333333333
ASV_4,0.0437666666666667,0.0115333333333333,0.0135333333333333,0.0202666666666667,0.0323666666666667,0.0130666666666667,0.0163,0.0179333333333333,0.0129333333333333,0.0190333333333333,0.0197,0.0137,0.0299333333333333,0.0372,0.0148666666666667,0.0154,0.0296,0.0247666666666667
ASV_6,0.0264333333333333,0.0186,0.0212,0.0230666666666667,0.0384,0.0278333333333333,0.00766666666666667,0.0075,0.0104,0.0115333333333333,0.0112,0.0111,0.0146333333333333,0.0144,0.0121,0.0142666666666667,0.0135333333333333,0.0130333333333333
ASV_8,0.0153,0.0139,0.0151333333333333,0.0113333333333333,0.0049,0.00873333333333333,0.0101666666666667,0.0162,0.0451333333333333,0.0240666666666667,0.0151,0.0161666666666667,0.0170333333333333,0.0195333333333333,0.0145333333333333,0.0289,0.0126333333333333,0.0139333333333333
ASV_7,0.00653333333333333,0.00383333333333333,0.0323333333333333,0.0097,0.0337,0.00803333333333333,0.004,0.0365,0.0237333333333333,0.0155,0.00613333333333333,0.0067,0.0212333333333333,0.0240666666666667,0.0154,0.00576666666666667,0.0155333333333333,0.0231666666666667
ASV_9,0.0104666666666667,0.0218333333333333,0.00876666666666667,0.0117666666666667,0.007,0.0154666666666667,0.00916666666666667,0.0134333333333333,0.0185333333333333,0.0119,0.0164,0.0123,0.0153,0.00846666666666667,0.0122333333333333,0.0113333333333333,0.0205,0.0141333333333333
ASV_10,0.0106666666666667,0.00973333333333333,0.0177333333333333,0.0199,0.0267,0.018,0.00616666666666667,0.0055,0.00823333333333333,0.00853333333333333,0.0121666666666667,0.00883333333333333,0.00873333333333333,0.0151333333333333,0.00713333333333333,0.0073,0.0137666666666667,0.0075
ASV_11,0.00933333333333333,0.00926666666666667,0.0085,0.00933333333333333,0.0146333333333333,0.00996666666666667,0.0146333333333333,0.0114,0.00746666666666667,0.0127333333333333,0.0105,0.00603333333333333,0.0112333333333333,0.0126333333333333,0.0137,0.0108,0.00873333333333333,0.0102333333333333
ASV_13,0.0052,0.005,0.00996666666666667,0.0095,0.0134333333333333,0.0106333333333333,0.0054,0.0156,0.0138333333333333,0.00906666666666667,0.0152,0.00593333333333333,0.0103,0.00783333333333333,0.0117,0.00786666666666667,0.0154,0.014
ASV_15,0.0096,0.0121,0.0115333333333333,0.00913333333333333,0.009,0.0101,0.0113333333333333,0.00926666666666667,0.0078,0.00733333333333333,0.0123666666666667,0.0114333333333333,0.00803333333333333,0.00723333333333333,0.00836666666666667,0.0106666666666667,0.00953333333333333,0.0098
ASV_14,0.00946666666666667,0.00823333333333333,0.00936666666666667,0.00993333333333333,0.0118666666666667,0.00996666666666667,0.00763333333333333,0.00546666666666667,0.00886666666666667,0.00903333333333333,0.0104,0.00766666666666667,0.00936666666666667,0.0147,0.0116,0.0128333333333333,0.00863333333333333,0.00873333333333333
ASV_12,9e-04,0.003,0.0158333333333333,0.00826666666666667,0.00486666666666667,0.00533333333333333,0.00616666666666667,0.0223333333333333,0.0197666666666667,0.0143,0.0111666666666667,0.00383333333333333,0.00783333333333333,0.00766666666666667,0.00666666666666667,0.00543333333333333,0.0127666666666667,0.0152333333333333
ASV_16,0.0071,0.007,0.0132666666666667,0.0073,0.00376666666666667,0.00573333333333333,0.00483333333333333,0.0071,0.0169333333333333,0.0087,0.00673333333333333,0.0055,0.0111666666666667,0.0076,0.00666666666666667,0.0084,0.0213333333333333,0.0092
ASV_17,0.0131333333333333,0.00853333333333333,0.00876666666666667,0.0108666666666667,0.0118,0.0157333333333333,0.00393333333333333,0.0033,0.0056,0.0068,0.0067,0.006,0.00906666666666667,0.0081,0.0076,0.00886666666666667,0.0072,0.00733333333333333
ASV_18,0.00683333333333333,0.00846666666666667,0.0048,0.0067,0.0045,0.00606666666666667,0.0069,0.00526666666666667,0.0059,0.0105333333333333,0.0084,0.006,0.0123,0.0130333333333333,0.00623333333333333,0.00793333333333333,0.0135,0.00783333333333333
ASV_28,0.0079,0.0084,0.00146666666666667,0.0109,0.00343333333333333,0.00516666666666667,0.00466666666666667,0.00796666666666667,0.00443333333333333,0.00756666666666667,0.00723333333333333,0.00543333333333333,0.0106333333333333,0.0113,0.00633333333333333,0.00853333333333333,0.0121333333333333,0.0063
ASV_19,0.00623333333333333,0.0202,0.00313333333333333,0.0043,0.00353333333333333,0.00756666666666667,0.00576666666666667,0.00683333333333333,0.00296666666666667,0.0048,0.0119,0.007,0.00883333333333333,0.003,0.0158333333333333,0.0033,0.0046,0.00416666666666667
